Date,Average Polarity Score
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-18,0.11505128567297875
2024-07-20,0.13281346149930806
2024-07-20,0.13281346149930806
2024-07-20,0.13281346149930806
2024-07-20,0.13281346149930806
2024-07-20,0.13281346149930806
2024-07-20,0.13281346149930806
